variant,outcome,rms_ev_mean_mps,rms_ev_sd_mps,rms_ew_mean_radps,rms_ew_sd_radps,drift_mean_m,drift_sd_m,rms_pitch_mean_deg,rms_pitch_sd_deg,rms_current_mean_A,rms_current_sd_A
"A (point, MLP)",DNF: fell before test bench could start (idle only),,,,,,,,,,
"B (range DR, MLP)","completed, 0 falls",0.4342988337913813,0.08173178401414219,0.20914466823329825,0.06941525783731285,0.4924563715855281,0.3991991303050989,5.040279216115061,1.8818159779666441,0.18812140931594326,0.051917036836623444
"C (range DR, GRU)","completed, 0 falls",0.218753690343007,0.04200094235310538,0.11556965557167365,0.06792942360221936,0.07250499228636424,0.03641397518079493,2.416533309793866,0.8085228290648715,0.12622479197174966,0.022654363821062465
