condition,rms_current_left_mean_A,rms_current_left_sd_A,rms_current_right_mean_A,rms_current_right_sd_A,mean_current_bias_mean_A,mean_current_bias_sd_A,rms_pitch_mean_deg,rms_pitch_sd_deg
Matched wheels,0.12506849866947353,0.024791741703284107,0.13231599708219352,0.02199923674705159,-0.004160052505804031,0.16570700515597878,2.416533309793866,0.8085228290648715
Left wheel +50% diameter,0.1509147177570505,0.029838274912475853,0.14918217307844167,0.02893777371840282,-0.012540495033504729,0.1781435469766944,4.3173757570276905,0.9474761771580907
