Syntax version=4
Mon Sep 07 12:11:50 2026
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		LOG_I_L_cmd_A	LOG_I_L_meas_A	LOG_I_R_cmd_A	LOG_I_R_meas_A	LOG_action_L	LOG_action_R	LOG_obs[0]	LOG_obs[1]	LOG_obs[2]	LOG_obs[3]	LOG_obs[4]	LOG_obs[5]	LOG_obs[6]	LOG_obs[7]	LOG_theta_deg
D:	time(ms)	(0x20000da0,6)	(0x20000da8,6)	(0x20000da4,6)	(0x20000dac,6)	(0x20000d98,6)	(0x20000d9c,6)	(0x20000d78,6)	(0x20000d7c,6)	(0x20000d80,6)	(0x20000d84,6)	(0x20000d88,6)	(0x20000d8c,6)	(0x20000d90,6)	(0x20000d94,6)	(0x20000d74,6)
D:	0.40	0.065233	0.065233	0.021404	0.021404	0.065233	-0.021404	0.173277	0.029086	0.023930	-0.021973	0.118445	-0.010917	0.037950	-0.018083	0.598247
D:	1.71	0.065233	0.065233	0.021404	0.021404	0.065233	-0.021404	0.173277	0.029086	0.023930	-0.021973	0.118445	-0.010917	0.037950	-0.018083	0.598247
D:	3.01	0.065233	0.065233	0.021404	0.021404	0.065233	-0.021404	0.173277	0.029086	0.023930	-0.021973	0.118445	-0.010917	0.037950	-0.018083	0.598247
D:	4.18	0.049244	0.049244	0.011593	0.011593	0.049244	-0.011593	0.173369	0.026442	0.022089	-0.020020	0.118211	-0.005580	0.032616	-0.010702	0.552231
D:	5.41	0.049244	0.049244	0.011593	0.011593	0.049244	-0.011593	0.173369	0.026442	0.022089	-0.020020	0.118211	-0.005580	0.032616	-0.010702	0.552231
D:	6.55	0.049244	0.049244	0.011593	0.011593	0.049244	-0.011593	0.173369	0.026442	0.022089	-0.020020	0.118211	-0.005580	0.032616	-0.010702	0.552231
D:	7.81	0.049244	0.049244	0.011593	0.011593	0.049244	-0.011593	0.173369	0.026442	0.022089	-0.020020	0.118211	-0.005580	0.032616	-0.010702	0.552231
D:	8.95	0.049244	0.049244	0.011593	0.011593	0.049244	-0.011593	0.173369	0.026442	0.022089	-0.020020	0.118211	-0.005580	0.032616	-0.010702	0.552231
D:	10.14	0.049244	0.049244	0.011593	0.011593	0.049244	-0.011593	0.173369	0.026442	0.022089	-0.020020	0.118211	-0.005580	0.032616	-0.010702	0.552231
D:	11.29	0.049244	0.049244	0.011593	0.011593	0.049244	-0.011593	0.173369	0.026442	0.022089	-0.020020	0.118211	-0.005580	0.032616	-0.010702	0.552231
D:	12.92	0.049244	0.049244	0.011593	0.011593	0.049244	-0.011593	0.173369	0.026442	0.022089	-0.020020	0.118211	-0.005580	0.032616	-0.010702	0.552231
D:	14.31	0.049244	0.049244	0.011593	0.011593	0.049244	-0.011593	0.173369	0.026442	0.022089	-0.020020	0.118211	-0.005580	0.032616	-0.010702	0.552231
D:	15.59	0.049244	0.049244	0.011593	0.011593	0.049244	-0.011593	0.173369	0.026442	0.022089	-0.020020	0.118211	-0.005580	0.032616	-0.010702	0.552231
D:	16.97	0.049244	0.049244	0.011593	0.011593	0.049244	-0.011593	0.173369	0.026442	0.022089	-0.020020	0.118211	-0.005580	0.032616	-0.010702	0.552231
D:	18.71	0.049244	0.049244	0.011593	0.011593	0.049244	-0.011593	0.173369	0.026442	0.022089	-0.020020	0.118211	-0.005580	0.032616	-0.010702	0.552231
D:	20.51	0.049244	0.049244	0.011593	0.011593	0.049244	-0.011593	0.173369	0.026442	0.022089	-0.020020	0.118211	-0.005580	0.032616	-0.010702	0.552231
D:	22.23	0.049244	0.049244	0.011593	0.011593	0.049244	-0.011593	0.173369	0.026442	0.022089	-0.020020	0.118211	-0.005580	0.032616	-0.010702	0.552231
D:	23.58	0.049244	0.049244	0.011593	0.011593	0.049244	-0.011593	0.173369	0.026442	0.022089	-0.020020	0.118211	-0.005580	0.032616	-0.010702	0.552231
D:	25.47	0.038669	0.038669	-0.050922	-0.050922	0.038669	0.050922	0.173374	0.026442	0.022089	-0.010742	0.118242	0.007961	0.024622	-0.005797	0.552231
D:	26.61	0.038669	0.038669	-0.050922	-0.050922	0.038669	0.050922	0.173374	0.026442	0.022089	-0.010742	0.118242	0.007961	0.024622	-0.005797	0.552231
D:	27.68	0.038669	0.038669	-0.050922	-0.050922	0.038669	0.050922	0.173374	0.026442	0.022089	-0.010742	0.118242	0.007961	0.024622	-0.005797	0.552231
D:	28.81	0.038669	0.038669	-0.050922	-0.050922	0.038669	0.050922	0.173374	0.026442	0.022089	-0.010742	0.118242	0.007961	0.024622	-0.005797	0.552231
D:	30.05	0.038669	0.038669	-0.050922	-0.050922	0.038669	0.050922	0.173374	0.026442	0.022089	-0.010742	0.118242	0.007961	0.024622	-0.005797	0.552231
D:	31.36	0.038669	0.038669	-0.050922	-0.050922	0.038669	0.050922	0.173374	0.026442	0.022089	-0.010742	0.118242	0.007961	0.024622	-0.005797	0.552231
D:	32.59	0.038669	0.038669	-0.050922	-0.050922	0.038669	0.050922	0.173374	0.026442	0.022089	-0.010742	0.118242	0.007961	0.024622	-0.005797	0.552231
D:	34.10	0.038669	0.038669	-0.050922	-0.050922	0.038669	0.050922	0.173374	0.026442	0.022089	-0.010742	0.118242	0.007961	0.024622	-0.005797	0.552231
D:	35.11	0.038669	0.038669	-0.050922	-0.050922	0.038669	0.050922	0.173374	0.026442	0.022089	-0.010742	0.118242	0.007961	0.024622	-0.005797	0.552231
D:	36.42	0.038669	0.038669	-0.050922	-0.050922	0.038669	0.050922	0.173374	0.026442	0.022089	-0.010742	0.118242	0.007961	0.024622	-0.005797	0.552231
D:	37.53	0.038669	0.038669	-0.050922	-0.050922	0.038669	0.050922	0.173374	0.026442	0.022089	-0.010742	0.118242	0.007961	0.024622	-0.005797	0.552231
D:	38.69	0.038669	0.038669	-0.050922	-0.050922	0.038669	0.050922	0.173374	0.026442	0.022089	-0.010742	0.118242	0.007961	0.024622	-0.005797	0.552231
D:	39.67	0.038669	0.027700	-0.050922	-0.040350	0.038669	0.050922	0.173374	0.026442	0.022089	-0.010742	0.118242	0.007961	0.024622	-0.005797	0.552231
D:	40.82	0.027700	0.027700	-0.040350	-0.040350	0.027700	0.040350	0.173384	0.023798	0.022089	-0.008789	0.118242	0.010375	0.019334	0.025461	0.552231
D:	42.04	0.027700	0.027700	-0.040350	-0.040350	0.027700	0.040350	0.173384	0.023798	0.022089	-0.008789	0.118242	0.010375	0.019334	0.025461	0.552231
D:	43.05	0.027700	0.027700	-0.040350	-0.040350	0.027700	0.040350	0.173384	0.023798	0.022089	-0.008789	0.118242	0.010375	0.019334	0.025461	0.552231
D:	44.30	0.027700	0.027700	-0.040350	-0.040350	0.027700	0.040350	0.173384	0.023798	0.022089	-0.008789	0.118242	0.010375	0.019334	0.025461	0.552231
D:	45.30	0.027700	0.027700	-0.040350	-0.040350	0.027700	0.040350	0.173384	0.023798	0.022089	-0.008789	0.118242	0.010375	0.019334	0.025461	0.552231
D:	46.30	0.027700	0.027700	-0.040350	-0.040350	0.027700	0.040350	0.173384	0.023798	0.022089	-0.008789	0.118242	0.010375	0.019334	0.025461	0.552231
D:	47.30	0.027700	0.027700	-0.040350	-0.040350	0.027700	0.040350	0.173384	0.023798	0.022089	-0.008789	0.118242	0.010375	0.019334	0.025461	0.552231
D:	48.30	0.027700	0.027700	-0.040350	-0.040350	0.027700	0.040350	0.173384	0.023798	0.022089	-0.008789	0.118242	0.010375	0.019334	0.025461	0.552231
D:	49.30	0.027700	0.027700	-0.040350	-0.040350	0.027700	0.040350	0.173384	0.023798	0.022089	-0.008789	0.118242	0.010375	0.019334	0.025461	0.552231
D:	50.21	0.027700	0.027700	-0.040350	-0.040350	0.027700	0.040350	0.173384	0.023798	0.022089	-0.008789	0.118242	0.010375	0.019334	0.025461	0.552231
D:	51.39	0.027700	0.027700	-0.040350	-0.040350	0.027700	0.040350	0.173384	0.023798	0.022089	-0.008789	0.118242	0.010375	0.019334	0.025461	0.552231
D:	52.47	0.027700	0.027700	-0.040350	-0.040350	0.027700	0.040350	0.173384	0.023798	0.022089	-0.008789	0.118242	0.010375	0.019334	0.025461	0.552231
D:	53.42	0.027700	0.027700	-0.040350	-0.040350	0.027700	0.040350	0.173384	0.023798	0.022089	-0.008789	0.118242	0.010375	0.019334	0.025461	0.552231
D:	54.69	0.027700	0.027700	-0.040350	-0.040350	0.027700	0.040350	0.173384	0.023798	0.022089	-0.008789	0.118242	0.010375	0.019334	0.025461	0.552231
D:	55.72	0.027700	0.027700	-0.040350	-0.040350	0.027700	0.040350	0.173384	0.023798	0.022089	-0.008789	0.118242	0.010375	0.019334	0.025461	0.552231
D:	56.74	0.019053	0.019053	-0.034624	-0.034624	0.027700	0.034624	0.173384	0.023798	0.022089	-0.008789	0.118242	0.010375	0.019334	0.025461	0.552231
