Syntax version=4
Thu Jul 02 16:21:50 2026
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		LOG_I_L_cmd_A	LOG_I_L_meas_A	LOG_I_R_cmd_A	LOG_I_R_meas_A	LOG_action_L	LOG_action_R	LOG_obs[0]	LOG_obs[1]	LOG_obs[2]	LOG_obs[3]	LOG_obs[4]	LOG_obs[5]	LOG_obs[6]	LOG_obs[7]	LOG_theta_deg
D:	time(ms)	(0x20000d40,6)	(0x20000d48,6)	(0x20000d44,6)	(0x20000d4c,6)	(0x20000d38,6)	(0x20000d3c,6)	(0x20000d18,6)	(0x20000d1c,6)	(0x20000d20,6)	(0x20000d24,6)	(0x20000d28,6)	(0x20000d2c,6)	(0x20000d30,6)	(0x20000d34,6)	(0x20000d14,6)
D:	0.09	-0.244217	-0.244217	0.500000	0.500000	-0.244217	-0.556654	0.209681	0.000000	-0.365209	0.001953	0.014620	0.000977	-0.120918	-0.277581	-9.127463
D:	1.03	-0.244217	-0.244217	0.500000	0.500000	-0.244217	-0.556654	0.209681	0.000000	-0.365209	0.001953	0.014620	0.000977	-0.120918	-0.277581	-9.127463
D:	1.97	-0.244217	-0.244217	0.500000	0.500000	-0.244217	-0.556654	0.209681	0.000000	-0.365209	0.001953	0.014620	0.000977	-0.120918	-0.277581	-9.127463
D:	2.87	-0.244217	-0.244217	0.500000	0.500000	-0.244217	-0.556654	0.209681	0.000000	-0.365209	0.001953	0.014620	0.000977	-0.120918	-0.277581	-9.127463
D:	3.77	-0.244217	-0.244217	0.500000	0.500000	-0.244217	-0.556654	0.209681	0.000000	-0.365209	0.001953	0.014620	0.000977	-0.120918	-0.277581	-9.127463
D:	4.68	-0.244217	-0.244217	0.500000	0.500000	-0.244217	-0.556654	0.209681	0.000000	-0.365209	0.001953	0.014620	0.000977	-0.120918	-0.277581	-9.127463
D:	5.64	-0.244217	-0.244217	0.500000	0.500000	-0.244217	-0.556654	0.209681	0.000000	-0.365209	0.001953	0.014620	0.000977	-0.120918	-0.277581	-9.127463
D:	6.55	-0.242804	-0.242804	0.500000	0.500000	-0.242804	-0.555388	0.209691	0.000000	-0.364742	0.002441	0.014654	0.000977	-0.122108	-0.278327	-9.118538
D:	7.44	-0.242804	-0.242804	0.500000	0.500000	-0.242804	-0.555388	0.209691	0.000000	-0.364742	0.002441	0.014654	0.000977	-0.122108	-0.278327	-9.118538
D:	8.37	-0.242804	-0.242804	0.500000	0.500000	-0.242804	-0.555388	0.209691	0.000000	-0.364742	0.002441	0.014654	0.000977	-0.122108	-0.278327	-9.118538
D:	9.26	-0.242804	-0.242804	0.500000	0.500000	-0.242804	-0.555388	0.209691	0.000000	-0.364742	0.002441	0.014654	0.000977	-0.122108	-0.278327	-9.118538
D:	10.16	-0.242804	-0.242804	0.500000	0.500000	-0.242804	-0.555388	0.209691	0.000000	-0.364742	0.002441	0.014654	0.000977	-0.122108	-0.278327	-9.118538
D:	11.18	-0.242804	-0.242804	0.500000	0.500000	-0.242804	-0.555388	0.209691	0.000000	-0.364742	0.002441	0.014654	0.000977	-0.122108	-0.278327	-9.118538
D:	12.06	-0.242804	-0.242804	0.500000	0.500000	-0.242804	-0.555388	0.209691	0.000000	-0.364742	0.002441	0.014654	0.000977	-0.122108	-0.278327	-9.118538
D:	12.96	-0.242804	-0.242804	0.500000	0.500000	-0.242804	-0.555388	0.209691	0.000000	-0.364742	0.002441	0.014654	0.000977	-0.122108	-0.278327	-9.118538
D:	13.90	-0.242804	-0.242804	0.500000	0.500000	-0.242804	-0.555388	0.209691	0.000000	-0.364742	0.002441	0.014654	0.000977	-0.122108	-0.278327	-9.118538
D:	14.85	-0.242804	-0.242804	0.500000	0.500000	-0.242804	-0.555388	0.209691	0.000000	-0.364742	0.002441	0.014654	0.000977	-0.122108	-0.278327	-9.118538
D:	15.77	-0.242804	-0.242804	0.500000	0.500000	-0.242804	-0.555388	0.209691	0.000000	-0.364742	0.002441	0.014654	0.000977	-0.122108	-0.278327	-9.118538
D:	16.66	-0.242804	-0.242804	0.500000	0.500000	-0.242804	-0.555388	0.209691	0.000000	-0.364742	0.002441	0.014654	0.000977	-0.122108	-0.278327	-9.118538
D:	17.59	-0.242804	-0.242804	0.500000	0.500000	-0.242804	-0.555388	0.209691	0.000000	-0.364742	0.002441	0.014654	0.000977	-0.122108	-0.278327	-9.118538
D:	18.63	-0.242804	-0.242804	0.500000	0.500000	-0.242804	-0.555388	0.209691	0.000000	-0.364742	0.002441	0.014654	0.000977	-0.122108	-0.278327	-9.118538
D:	19.70	-0.242804	-0.242804	0.500000	0.500000	-0.242804	-0.555388	0.209691	0.000000	-0.364742	0.002441	0.014654	0.000977	-0.122108	-0.278327	-9.118538
D:	20.72	-0.242804	-0.242804	0.500000	0.500000	-0.242804	-0.555388	0.209691	0.000000	-0.364742	0.002441	0.014654	0.000977	-0.122108	-0.278327	-9.118538
D:	21.75	-0.241915	-0.241915	0.500000	0.500000	-0.241915	-0.556804	0.209686	0.000000	-0.364742	0.001953	0.014654	-0.000488	-0.121402	-0.277694	-9.111958
D:	22.74	-0.241915	-0.241915	0.500000	0.500000	-0.241915	-0.556804	0.209686	0.000000	-0.364742	0.001953	0.014654	-0.000488	-0.121402	-0.277694	-9.111958
D:	23.75	-0.241915	-0.241915	0.500000	0.500000	-0.241915	-0.556804	0.209686	0.000000	-0.364742	0.001953	0.014654	-0.000488	-0.121402	-0.277694	-9.111958
D:	24.75	-0.241915	-0.241915	0.500000	0.500000	-0.241915	-0.556804	0.209686	0.000000	-0.364742	0.001953	0.014654	-0.000488	-0.121402	-0.277694	-9.111958
D:	25.78	-0.241915	-0.241915	0.500000	0.500000	-0.241915	-0.556804	0.209686	0.000000	-0.364742	0.001953	0.014654	-0.000488	-0.121402	-0.277694	-9.111958
D:	26.69	-0.241915	-0.241915	0.500000	0.500000	-0.241915	-0.556804	0.209686	0.000000	-0.364742	0.001953	0.014654	-0.000488	-0.121402	-0.277694	-9.111958
D:	27.73	-0.241915	-0.241915	0.500000	0.500000	-0.241915	-0.556804	0.209686	0.000000	-0.364742	0.001953	0.014654	-0.000488	-0.121402	-0.277694	-9.111958
D:	28.73	-0.241915	-0.241915	0.500000	0.500000	-0.241915	-0.556804	0.209686	0.000000	-0.364742	0.001953	0.014654	-0.000488	-0.121402	-0.277694	-9.111958
D:	29.81	-0.241915	-0.241915	0.500000	0.500000	-0.241915	-0.556804	0.209686	0.000000	-0.364742	0.001953	0.014654	-0.000488	-0.121402	-0.277694	-9.111958
D:	30.74	-0.241915	-0.241915	0.500000	0.500000	-0.241915	-0.556804	0.209686	0.000000	-0.364742	0.001953	0.014654	-0.000488	-0.121402	-0.277694	-9.111958
