Syntax version=4
Thu Jul 02 16:33:06 2026
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		LOG_I_L_cmd_A	LOG_I_L_meas_A	LOG_I_R_cmd_A	LOG_I_R_meas_A	LOG_action_L	LOG_action_R	LOG_obs[0]	LOG_obs[1]	LOG_obs[2]	LOG_obs[3]	LOG_obs[4]	LOG_obs[5]	LOG_obs[6]	LOG_obs[7]	LOG_theta_deg
D:	time(ms)	(0x20000d40,6)	(0x20000d48,6)	(0x20000d44,6)	(0x20000d4c,6)	(0x20000d38,6)	(0x20000d3c,6)	(0x20000d18,6)	(0x20000d1c,6)	(0x20000d20,6)	(0x20000d24,6)	(0x20000d28,6)	(0x20000d2c,6)	(0x20000d30,6)	(0x20000d34,6)	(0x20000d14,6)
D:	23.49	-0.335873	-0.335873	0.500000	0.500000	-0.335873	-0.547006	0.013402	0.000000	-0.381303	-0.005859	0.030070	0.001465	-0.165924	-0.273171	-9.541698
D:	25.56	-0.335873	-0.335873	0.500000	0.500000	-0.335873	-0.547006	0.013402	0.000000	-0.381303	-0.005859	0.030070	0.001465	-0.165924	-0.273171	-9.541698
D:	26.46	-0.335873	-0.335873	0.500000	0.500000	-0.335873	-0.547006	0.013402	0.000000	-0.381303	-0.005859	0.030070	0.001465	-0.165924	-0.273171	-9.541698
D:	27.43	-0.335873	-0.335873	0.500000	0.500000	-0.335873	-0.547006	0.013402	0.000000	-0.381303	-0.005859	0.030070	0.001465	-0.165924	-0.273171	-9.541698
D:	28.35	-0.335873	-0.335873	0.500000	0.500000	-0.335873	-0.547006	0.013402	0.000000	-0.381303	-0.005859	0.030070	0.001465	-0.165924	-0.273171	-9.541698
D:	29.36	-0.335873	-0.335873	0.500000	0.500000	-0.335873	-0.547006	0.013402	0.000000	-0.381303	-0.005859	0.030070	0.001465	-0.165924	-0.273171	-9.541698
D:	30.24	-0.335873	-0.335873	0.500000	0.500000	-0.335873	-0.547006	0.013402	0.000000	-0.381303	-0.005859	0.030070	0.001465	-0.165924	-0.273171	-9.541698
D:	31.18	-0.335873	-0.335873	0.500000	0.500000	-0.335873	-0.547006	0.013402	0.000000	-0.381303	-0.005859	0.030070	0.001465	-0.165924	-0.273171	-9.541698
D:	32.05	-0.335873	-0.335873	0.500000	0.500000	-0.335873	-0.547006	0.013402	0.000000	-0.381303	-0.005859	0.030070	0.001465	-0.165924	-0.273171	-9.541698
D:	32.96	-0.335873	-0.335873	0.500000	0.500000	-0.335873	-0.547006	0.013402	0.000000	-0.381303	-0.005859	0.030070	0.001465	-0.165924	-0.273171	-9.541698
D:	33.85	-0.335873	-0.335873	0.500000	0.500000	-0.335873	-0.547006	0.013402	0.000000	-0.381303	-0.005859	0.030070	0.001465	-0.165924	-0.273171	-9.541698
D:	34.77	-0.333459	-0.333459	0.500000	0.500000	-0.335873	-0.547006	0.013402	0.000000	-0.381303	-0.005859	0.030070	0.001465	-0.165924	-0.273171	-9.541698
D:	35.64	-0.333459	-0.333459	0.500000	0.500000	-0.333459	-0.548632	0.013411	0.000000	-0.382291	-0.005859	0.030068	0.000488	-0.167937	-0.273503	-9.566390
D:	36.52	-0.333459	-0.333459	0.500000	0.500000	-0.333459	-0.548632	0.013411	0.000000	-0.382291	-0.005859	0.030068	0.000488	-0.167937	-0.273503	-9.566390
D:	37.39	-0.333459	-0.333459	0.500000	0.500000	-0.333459	-0.548632	0.013411	0.000000	-0.382291	-0.005859	0.030068	0.000488	-0.167937	-0.273503	-9.566390
D:	38.28	-0.333459	-0.333459	0.500000	0.500000	-0.333459	-0.548632	0.013411	0.000000	-0.382291	-0.005859	0.030068	0.000488	-0.167937	-0.273503	-9.566390
D:	39.17	-0.333459	-0.333459	0.500000	0.500000	-0.333459	-0.548632	0.013411	0.000000	-0.382291	-0.005859	0.030068	0.000488	-0.167937	-0.273503	-9.566390
D:	40.05	-0.333459	-0.333459	0.500000	0.500000	-0.333459	-0.548632	0.013411	0.000000	-0.382291	-0.005859	0.030068	0.000488	-0.167937	-0.273503	-9.566390
D:	40.97	-0.333459	-0.333459	0.500000	0.500000	-0.333459	-0.548632	0.013411	0.000000	-0.382291	-0.005859	0.030068	0.000488	-0.167937	-0.273503	-9.566390
D:	41.85	-0.333459	-0.333459	0.500000	0.500000	-0.333459	-0.548632	0.013411	0.000000	-0.382291	-0.005859	0.030068	0.000488	-0.167937	-0.273503	-9.566390
D:	42.75	-0.333459	-0.333459	0.500000	0.500000	-0.333459	-0.548632	0.013411	0.000000	-0.382291	-0.005859	0.030068	0.000488	-0.167937	-0.273503	-9.566390
D:	43.65	-0.333459	-0.333459	0.500000	0.500000	-0.333459	-0.548632	0.013411	0.000000	-0.382291	-0.005859	0.030068	0.000488	-0.167937	-0.273503	-9.566390
D:	44.52	-0.333459	-0.333459	0.500000	0.500000	-0.333459	-0.548632	0.013411	0.000000	-0.382291	-0.005859	0.030068	0.000488	-0.167937	-0.273503	-9.566390
D:	45.40	-0.333459	-0.333459	0.500000	0.500000	-0.333459	-0.548632	0.013411	0.000000	-0.382291	-0.005859	0.030068	0.000488	-0.167937	-0.273503	-9.566390
D:	46.35	-0.333459	-0.333459	0.500000	0.500000	-0.333459	-0.548632	0.013411	0.000000	-0.382291	-0.005859	0.030068	0.000488	-0.167937	-0.273503	-9.566390
D:	47.34	-0.333459	-0.333459	0.500000	0.500000	-0.333459	-0.548632	0.013411	0.000000	-0.382291	-0.005859	0.030068	0.000488	-0.167937	-0.273503	-9.566390
D:	48.24	-0.333459	-0.333459	0.500000	0.500000	-0.333459	-0.548632	0.013411	0.000000	-0.382291	-0.005859	0.030068	0.000488	-0.167937	-0.273503	-9.566390
D:	49.17	-0.333459	-0.333459	0.500000	0.500000	-0.333459	-0.548632	0.013411	0.000000	-0.382291	-0.005859	0.030068	0.000488	-0.167937	-0.273503	-9.566390
D:	50.10	-0.329914	-0.329914	0.500000	0.500000	-0.329914	-0.550248	0.013416	0.000000	-0.382656	-0.005859	0.030068	-0.000977	-0.166730	-0.274316	-9.566390
D:	50.97	-0.329914	-0.329914	0.500000	0.500000	-0.329914	-0.550248	0.013416	0.000000	-0.382656	-0.005859	0.030068	-0.000977	-0.166730	-0.274316	-9.579737
D:	51.96	-0.329914	-0.329914	0.500000	0.500000	-0.329914	-0.550248	0.013416	0.000000	-0.382656	-0.005859	0.030068	-0.000977	-0.166730	-0.274316	-9.579737
D:	52.86	-0.329914	-0.329914	0.500000	0.500000	-0.329914	-0.550248	0.013416	0.000000	-0.382656	-0.005859	0.030068	-0.000977	-0.166730	-0.274316	-9.579737
D:	53.74	-0.329914	-0.329914	0.500000	0.500000	-0.329914	-0.550248	0.013416	0.000000	-0.382656	-0.005859	0.030068	-0.000977	-0.166730	-0.274316	-9.579737
D:	54.65	-0.329914	-0.329914	0.500000	0.500000	-0.329914	-0.550248	0.013416	0.000000	-0.382656	-0.005859	0.030068	-0.000977	-0.166730	-0.274316	-9.579737
D:	55.57	-0.329914	-0.329914	0.500000	0.500000	-0.329914	-0.550248	0.013416	0.000000	-0.382656	-0.005859	0.030068	-0.000977	-0.166730	-0.274316	-9.579737
D:	56.45	-0.329914	-0.329914	0.500000	0.500000	-0.329914	-0.550248	0.013416	0.000000	-0.382656	-0.005859	0.030068	-0.000977	-0.166730	-0.274316	-9.579737
D:	57.34	-0.329914	-0.329914	0.500000	0.500000	-0.329914	-0.550248	0.013416	0.000000	-0.382656	-0.005859	0.030068	-0.000977	-0.166730	-0.274316	-9.579737
D:	58.24	-0.329914	-0.329914	0.500000	0.500000	-0.329914	-0.550248	0.013416	0.000000	-0.382656	-0.005859	0.030068	-0.000977	-0.166730	-0.274316	-9.579737
D:	59.17	-0.329914	-0.329914	0.500000	0.500000	-0.329914	-0.550248	0.013416	0.000000	-0.382656	-0.005859	0.030068	-0.000977	-0.166730	-0.274316	-9.579737
D:	60.05	-0.329914	-0.329914	0.500000	0.500000	-0.329914	-0.550248	0.013416	0.000000	-0.382656	-0.005859	0.030068	-0.000977	-0.166730	-0.274316	-9.579737
D:	60.92	-0.329914	-0.329914	0.500000	0.500000	-0.329914	-0.550248	0.013416	0.000000	-0.382656	-0.005859	0.030068	-0.000977	-0.166730	-0.274316	-9.579737
D:	61.83	-0.329914	-0.329914	0.500000	0.500000	-0.329914	-0.550248	0.013416	0.000000	-0.382656	-0.005859	0.030068	-0.000977	-0.166730	-0.274316	-9.579737
D:	62.73	-0.329914	-0.329914	0.500000	0.500000	-0.329914	-0.550248	0.013416	0.000000	-0.382656	-0.005859	0.030068	-0.000977	-0.166730	-0.274316	-9.579737
D:	63.63	-0.329914	-0.329914	0.500000	0.500000	-0.329914	-0.550248	0.013416	0.000000	-0.382656	-0.005859	0.030068	-0.000977	-0.166730	-0.274316	-9.579737
D:	64.54	-0.329914	-0.329914	0.500000	0.500000	-0.329914	-0.550248	0.013416	0.000000	-0.382656	-0.005859	0.030068	-0.000977	-0.166730	-0.274316	-9.579737
D:	65.44	-0.330314	-0.330314	0.500000	0.500000	-0.330314	-0.549554	0.013416	0.000000	-0.383554	-0.005371	0.030078	-0.000977	-0.164957	-0.275124	-9.604429
D:	66.37	-0.330314	-0.330314	0.500000	0.500000	-0.330314	-0.549554	0.013416	0.000000	-0.383554	-0.005371	0.030078	-0.000977	-0.164957	-0.275124	-9.604429
D:	67.27	-0.330314	-0.330314	0.500000	0.500000	-0.330314	-0.549554	0.013416	0.000000	-0.383554	-0.005371	0.030078	-0.000977	-0.164957	-0.275124	-9.604429
D:	68.18	-0.330314	-0.330314	0.500000	0.500000	-0.330314	-0.549554	0.013416	0.000000	-0.383554	-0.005371	0.030078	-0.000977	-0.164957	-0.275124	-9.604429
D:	69.06	-0.330314	-0.330314	0.500000	0.500000	-0.330314	-0.549554	0.013416	0.000000	-0.383554	-0.005371	0.030078	-0.000977	-0.164957	-0.275124	-9.604429
D:	70.63	-0.330314	-0.330314	0.500000	0.500000	-0.330314	-0.549554	0.013416	0.000000	-0.383554	-0.005371	0.030078	-0.000977	-0.164957	-0.275124	-9.604429
D:	71.56	-0.330314	-0.330314	0.500000	0.500000	-0.330314	-0.549554	0.013416	0.000000	-0.383554	-0.005371	0.030078	-0.000977	-0.164957	-0.275124	-9.604429
D:	72.45	-0.330314	-0.330314	0.500000	0.500000	-0.330314	-0.549554	0.013416	0.000000	-0.383554	-0.005371	0.030078	-0.000977	-0.164957	-0.275124	-9.604429
D:	73.37	-0.330314	-0.330314	0.500000	0.500000	-0.330314	-0.549554	0.013416	0.000000	-0.383554	-0.005371	0.030078	-0.000977	-0.164957	-0.275124	-9.604429
D:	74.25	-0.330314	-0.330314	0.500000	0.500000	-0.330314	-0.549554	0.013416	0.000000	-0.383554	-0.005371	0.030078	-0.000977	-0.164957	-0.275124	-9.604429
D:	75.22	-0.330314	-0.330314	0.500000	0.500000	-0.330314	-0.549554	0.013416	0.000000	-0.383554	-0.005371	0.030078	-0.000977	-0.164957	-0.275124	-9.604429
D:	76.18	-0.330314	-0.330314	0.500000	0.500000	-0.330314	-0.549554	0.013416	0.000000	-0.383554	-0.005371	0.030078	-0.000977	-0.164957	-0.275124	-9.604429
D:	77.06	-0.330314	-0.330314	0.500000	0.500000	-0.330314	-0.549554	0.013416	0.000000	-0.383554	-0.005371	0.030078	-0.000977	-0.164957	-0.275124	-9.604429
D:	77.97	-0.330314	-0.330314	0.500000	0.500000	-0.330314	-0.549554	0.013416	0.000000	-0.383554	-0.005371	0.030078	-0.000977	-0.164957	-0.275124	-9.604429
D:	78.98	-0.330314	-0.330314	0.500000	0.500000	-0.330314	-0.549554	0.013416	0.000000	-0.383554	-0.005371	0.030078	-0.000977	-0.164957	-0.275124	-9.604429
D:	79.85	-0.333793	-0.333793	0.500000	0.500000	-0.333793	-0.550297	0.013416	0.000000	-0.383554	-0.005371	0.030078	-0.000488	-0.165157	-0.274777	-9.604429
D:	80.85	-0.333793	-0.333793	0.500000	0.500000	-0.333793	-0.550297	0.013406	0.000000	-0.384177	-0.006348	0.030076	-0.000488	-0.165157	-0.274777	-9.620421
D:	81.85	-0.333793	-0.333793	0.500000	0.500000	-0.333793	-0.550297	0.013406	0.000000	-0.384177	-0.006348	0.030076	-0.000488	-0.165157	-0.274777	-9.620421
D:	82.89	-0.333793	-0.333793	0.500000	0.500000	-0.333793	-0.550297	0.013406	0.000000	-0.384177	-0.006348	0.030076	-0.000488	-0.165157	-0.274777	-9.620421
D:	83.78	-0.333793	-0.333793	0.500000	0.500000	-0.333793	-0.550297	0.013406	0.000000	-0.384177	-0.006348	0.030076	-0.000488	-0.165157	-0.274777	-9.620421
D:	84.69	-0.333793	-0.333793	0.500000	0.500000	-0.333793	-0.550297	0.013406	0.000000	-0.384177	-0.006348	0.030076	-0.000488	-0.165157	-0.274777	-9.620421
D:	85.58	-0.333793	-0.333793	0.500000	0.500000	-0.333793	-0.550297	0.013406	0.000000	-0.384177	-0.006348	0.030076	-0.000488	-0.165157	-0.274777	-9.620421
D:	86.56	-0.333793	-0.333793	0.500000	0.500000	-0.333793	-0.550297	0.013406	0.000000	-0.384177	-0.006348	0.030076	-0.000488	-0.165157	-0.274777	-9.620421
D:	87.45	-0.333793	-0.333793	0.500000	0.500000	-0.333793	-0.550297	0.013406	0.000000	-0.384177	-0.006348	0.030076	-0.000488	-0.165157	-0.274777	-9.620421
D:	88.35	-0.333793	-0.333793	0.500000	0.500000	-0.333793	-0.550297	0.013406	0.000000	-0.384177	-0.006348	0.030076	-0.000488	-0.165157	-0.274777	-9.620421
D:	89.24	-0.333793	-0.333793	0.500000	0.500000	-0.333793	-0.550297	0.013406	0.000000	-0.384177	-0.006348	0.030076	-0.000488	-0.165157	-0.274777	-9.620421
D:	90.18	-0.333793	-0.333793	0.500000	0.500000	-0.333793	-0.550297	0.013406	0.000000	-0.384177	-0.006348	0.030076	-0.000488	-0.165157	-0.274777	-9.620421
D:	91.07	-0.333793	-0.333793	0.500000	0.500000	-0.333793	-0.550297	0.013406	0.000000	-0.384177	-0.006348	0.030076	-0.000488	-0.165157	-0.274777	-9.620421
D:	91.97	-0.333793	-0.333793	0.500000	0.500000	-0.333793	-0.550297	0.013406	0.000000	-0.384177	-0.006348	0.030076	-0.000488	-0.165157	-0.274777	-9.620421
D:	92.97	-0.333793	-0.333793	0.500000	0.500000	-0.333793	-0.550297	0.013406	0.000000	-0.384177	-0.006348	0.030076	-0.000488	-0.165157	-0.274777	-9.620421
D:	93.85	-0.333793	-0.333793	0.500000	0.500000	-0.333793	-0.550297	0.013406	0.000000	-0.384177	-0.006348	0.030076	-0.000488	-0.165157	-0.274777	-9.620421
D:	94.86	-0.338412	-0.338412	0.500000	0.500000	-0.338412	-0.550380	0.013406	0.000000	-0.384177	-0.006348	0.030076	-0.000488	-0.165157	-0.274777	-9.620421
D:	95.74	-0.338412	-0.338412	0.500000	0.500000	-0.338412	-0.550380	0.013402	0.000000	-0.385440	-0.007324	0.030036	0.000488	-0.166896	-0.275148	-9.651558
D:	96.63	-0.338412	-0.338412	0.500000	0.500000	-0.338412	-0.550380	0.013402	0.000000	-0.385440	-0.007324	0.030036	0.000488	-0.166896	-0.275148	-9.651558
D:	97.53	-0.338412	-0.338412	0.500000	0.500000	-0.338412	-0.550380	0.013402	0.000000	-0.385440	-0.007324	0.030036	0.000488	-0.166896	-0.275148	-9.651558
D:	98.43	-0.338412	-0.338412	0.500000	0.500000	-0.338412	-0.550380	0.013402	0.000000	-0.385440	-0.007324	0.030036	0.000488	-0.166896	-0.275148	-9.651558
D:	99.43	-0.338412	-0.338412	0.500000	0.500000	-0.338412	-0.550380	0.013402	0.000000	-0.385440	-0.007324	0.030036	0.000488	-0.166896	-0.275148	-9.651558
D:	100.34	-0.338412	-0.338412	0.500000	0.500000	-0.338412	-0.550380	0.013402	0.000000	-0.385440	-0.007324	0.030036	0.000488	-0.166896	-0.275148	-9.651558
D:	101.24	-0.338412	-0.338412	0.500000	0.500000	-0.338412	-0.550380	0.013402	0.000000	-0.385440	-0.007324	0.030036	0.000488	-0.166896	-0.275148	-9.651558
D:	102.18	-0.338412	-0.338412	0.500000	0.500000	-0.338412	-0.550380	0.013402	0.000000	-0.385440	-0.007324	0.030036	0.000488	-0.166896	-0.275148	-9.651558
D:	103.19	-0.338412	-0.338412	0.500000	0.500000	-0.338412	-0.550380	0.013402	0.000000	-0.385440	-0.007324	0.030036	0.000488	-0.166896	-0.275148	-9.651558
D:	104.19	-0.338412	-0.338412	0.500000	0.500000	-0.338412	-0.550380	0.013402	0.000000	-0.385440	-0.007324	0.030036	0.000488	-0.166896	-0.275148	-9.651558
D:	105.10	-0.338412	-0.338412	0.500000	0.500000	-0.338412	-0.550380	0.013402	0.000000	-0.385440	-0.007324	0.030036	0.000488	-0.166896	-0.275148	-9.651558
D:	106.18	-0.338412	-0.338412	0.500000	0.500000	-0.338412	-0.550380	0.013402	0.000000	-0.385440	-0.007324	0.030036	0.000488	-0.166896	-0.275148	-9.651558
D:	107.08	-0.338412	-0.338412	0.500000	0.500000	-0.338412	-0.550380	0.013402	0.000000	-0.385440	-0.007324	0.030036	0.000488	-0.166896	-0.275148	-9.651558
D:	107.98	-0.338412	-0.338412	0.500000	0.500000	-0.338412	-0.550380	0.013402	0.000000	-0.385440	-0.007324	0.030036	0.000488	-0.166896	-0.275148	-9.651558
D:	108.86	-0.338412	-0.338412	0.500000	0.500000	-0.338412	-0.550380	0.013402	0.000000	-0.385440	-0.007324	0.030036	0.000488	-0.166896	-0.275148	-9.651558
D:	109.75	-0.338412	-0.337714	0.500000	0.500000	-0.338412	-0.550380	0.013402	0.000000	-0.385440	-0.007324	0.030036	0.000488	-0.166896	-0.275148	-9.651558
D:	110.62	-0.337714	-0.337714	0.500000	0.500000	-0.337714	-0.551864	0.013411	0.000000	-0.386062	-0.007813	0.030034	-0.000000	-0.169206	-0.275190	-9.673568
D:	111.51	-0.337714	-0.337714	0.500000	0.500000	-0.337714	-0.551864	0.013411	0.000000	-0.386062	-0.007813	0.030034	-0.000000	-0.169206	-0.275190	-9.673568
D:	112.41	-0.337714	-0.337714	0.500000	0.500000	-0.337714	-0.551864	0.013411	0.000000	-0.386062	-0.007813	0.030034	-0.000000	-0.169206	-0.275190	-9.673568
D:	113.35	-0.337714	-0.337714	0.500000	0.500000	-0.337714	-0.551864	0.013411	0.000000	-0.386062	-0.007813	0.030034	-0.000000	-0.169206	-0.275190	-9.673568
D:	114.24	-0.337714	-0.337714	0.500000	0.500000	-0.337714	-0.551864	0.013411	0.000000	-0.386062	-0.007813	0.030034	-0.000000	-0.169206	-0.275190	-9.673568
D:	115.24	-0.337714	-0.337714	0.500000	0.500000	-0.337714	-0.551864	0.013411	0.000000	-0.386062	-0.007813	0.030034	-0.000000	-0.169206	-0.275190	-9.673568
D:	116.18	-0.337714	-0.337714	0.500000	0.500000	-0.337714	-0.551864	0.013411	0.000000	-0.386062	-0.007813	0.030034	-0.000000	-0.169206	-0.275190	-9.673568
D:	117.06	-0.337714	-0.337714	0.500000	0.500000	-0.337714	-0.551864	0.013411	0.000000	-0.386062	-0.007813	0.030034	-0.000000	-0.169206	-0.275190	-9.673568
D:	117.98	-0.337714	-0.337714	0.500000	0.500000	-0.337714	-0.551864	0.013411	0.000000	-0.386062	-0.007813	0.030034	-0.000000	-0.169206	-0.275190	-9.673568
D:	118.90	-0.337714	-0.337714	0.500000	0.500000	-0.337714	-0.551864	0.013411	0.000000	-0.386062	-0.007813	0.030034	-0.000000	-0.169206	-0.275190	-9.673568
D:	119.82	-0.337714	-0.337714	0.500000	0.500000	-0.337714	-0.551864	0.013411	0.000000	-0.386062	-0.007813	0.030034	-0.000000	-0.169206	-0.275190	-9.673568
D:	120.72	-0.337714	-0.337714	0.500000	0.500000	-0.337714	-0.551864	0.013411	0.000000	-0.386062	-0.007813	0.030034	-0.000000	-0.169206	-0.275190	-9.673568
D:	121.73	-0.337714	-0.337714	0.500000	0.500000	-0.337714	-0.551864	0.013411	0.000000	-0.386062	-0.007813	0.030034	-0.000000	-0.169206	-0.275190	-9.673568
D:	122.63	-0.337714	-0.337714	0.500000	0.500000	-0.337714	-0.551864	0.013411	0.000000	-0.386062	-0.007813	0.030034	-0.000000	-0.169206	-0.275190	-9.673568
D:	123.52	-0.337714	-0.337714	0.500000	0.500000	-0.337714	-0.551864	0.013411	0.000000	-0.386062	-0.007813	0.030034	-0.000000	-0.169206	-0.275190	-9.673568
