stage,policy,duration_s,max_abs_pitch_deg,rms_pitch_deg,max_abs_roll_deg,rms_roll_deg,rms_current_A,max_abs_drift_m,rms_velocity_error_mps,rms_yawrate_error_radps
left_leg,range_mlp,4.963999999999999,10.066526605382492,4.068631465072949,12.367467926371694,11.314556346569484,0.17217956517472138,0.3151656985282898,,
left_leg,range_gru,4.995999999999999,5.2405510062646705,2.871258124145387,12.448827432217593,11.297926312373727,0.12624430933583178,0.04545804113149643,,
right_leg,range_mlp,4.995000000000001,19.296583848775615,8.646684950009512,10.134471619698486,8.979231160939419,0.2531704180638004,0.9495931714773178,,
right_leg,range_gru,4.996000000000002,6.004179815850436,2.8203205961318987,10.136002435846216,9.158619501913082,0.12756736935233476,0.05814792960882187,,
forward,range_mlp,2.986000000000004,7.649291922263714,2.9638439575119446,1.2050733271537986,0.9871962734602946,0.10095038195707182,,0.4202451434289052,
forward,range_gru,2.983000000000004,7.096511052356242,3.4449550350628337,1.0651989503581651,0.8123855019034197,0.1232949489264737,,0.27134713158085166,
reverse,range_mlp,2.985999999999997,8.676255260204735,4.530779315958056,1.3019527303412592,1.0180119823578595,0.18388725808696219,,0.2981472837169902,
reverse,range_gru,2.9849999999999994,4.6528183508269505,2.3116868444608283,1.0600582725123786,0.9572136640548083,0.1303811557514891,,0.19163339171065336,
spin_positive,range_mlp,4.9950000000000045,11.61642032523709,3.219662646820373,2.3936071377889996,1.9187917643824492,0.1220439836212556,,,0.16006066869872168
spin_positive,range_gru,4.996000000000009,4.2329986390580014,1.2535657977953256,2.5315248788308358,2.136158931420387,0.10243239642794374,,,0.06753629950045083
spin_negative,range_mlp,4.994,10.930735073138573,2.9353303321921915,1.2657400278572037,0.36876572495452625,0.1383776533676435,,,0.2582286677678748
spin_negative,range_gru,4.9950000000000045,4.5610756767821625,1.406544754394936,1.7077486763619973,0.6200671328438173,0.10522815117997164,,,0.16360301164289648
sine_legs_forward,range_mlp,3.9890000000000043,13.190610735516719,6.769920071600375,1.270938548867524,0.9702026611660496,0.24187779361844997,,0.5504187809190939,
sine_legs_forward,range_gru,3.98899999999999,10.842222651684377,3.76711172262107,1.7971058001174527,1.4417589612868384,0.1889314889863974,,0.24294733946564906,
sine_legs_reverse,range_mlp,3.9909999999999997,14.931418487956929,6.2598227798713815,1.4214398462380509,1.0145273203475098,0.25558105285264193,,0.4575688869417766,
sine_legs_reverse,range_gru,3.9919999999999902,2.91318517748057,1.815118511567438,1.7008998108934728,1.464225242057323,0.12282866513854601,,0.16934669489230694,
crossed_asymmetric_hold,range_mlp,4.994,13.077314972659131,5.872944547408719,3.2059687067725715,1.5123029894491002,0.1917176877522502,0.21261024475097656,,
crossed_asymmetric_hold,range_gru,4.995999999999995,6.319856218249615,2.5557806978832374,2.1296619478332612,1.4079354654625955,0.11819290000835965,0.11390900611877441,,
one_leg_sine_forward,range_mlp,3.990000000000009,16.81934253870369,6.496385688203582,11.933768843322454,7.41560537601454,0.20594269356139305,,0.4567629714783698,
one_leg_sine_forward,range_gru,3.989999999999995,5.219485422203881,2.613369986930124,12.165298595807547,7.6747442965171295,0.11677544123886291,,0.2524793495709168,
one_leg_sine_reverse,range_mlp,3.9890000000000043,8.083730373290607,3.679065622616585,12.046201441023682,7.433047548853771,0.2036070144191858,,0.42264993626315217,
one_leg_sine_reverse,range_gru,3.989999999999995,3.8171314723843737,1.7221543367394447,12.22961592590062,7.724426532180027,0.12659588534303556,,0.18476823483766425,
