Syntax version=4
Mon Sep 07 12:13:04 2026
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		LOG_I_L_cmd_A	LOG_I_L_meas_A	LOG_I_R_cmd_A	LOG_I_R_meas_A	LOG_action_L	LOG_action_R	LOG_obs[0]	LOG_obs[1]	LOG_obs[2]	LOG_obs[3]	LOG_obs[4]	LOG_obs[5]	LOG_obs[6]	LOG_obs[7]	LOG_theta_deg
D:	time(ms)	(0x20000da0,6)	(0x20000da8,6)	(0x20000da4,6)	(0x20000dac,6)	(0x20000d98,6)	(0x20000d9c,6)	(0x20000d78,6)	(0x20000d7c,6)	(0x20000d80,6)	(0x20000d84,6)	(0x20000d88,6)	(0x20000d8c,6)	(0x20000d90,6)	(0x20000d94,6)	(0x20000d74,6)
D:	0.26	0.083246	0.083246	0.151381	0.151381	0.083246	-0.151381	0.269882	-0.005288	0.000000	-0.003418	0.105252	-0.000449	0.044035	-0.077082	0.000000
D:	1.49	0.083246	0.083246	0.151381	0.151381	0.083246	-0.151381	0.269882	-0.005288	0.000000	-0.003418	0.105252	-0.000449	0.044035	-0.077082	0.000000
D:	2.78	0.083246	0.083246	0.151381	0.151381	0.083246	-0.151381	0.269882	-0.005288	0.000000	-0.003418	0.105252	-0.000449	0.044035	-0.077082	0.000000
D:	3.92	0.102689	0.102689	0.134486	0.134486	0.102689	-0.134486	0.269863	-0.002644	0.000000	0.002930	0.105194	-0.001009	0.041623	-0.075691	0.000000
D:	5.22	0.102689	0.102689	0.134486	0.134486	0.102689	-0.134486	0.269863	-0.002644	0.000000	0.002930	0.105194	-0.001009	0.041623	-0.075691	0.000000
D:	6.63	0.102689	0.102689	0.134486	0.134486	0.102689	-0.134486	0.269863	-0.002644	0.000000	0.002930	0.105194	-0.001009	0.041623	-0.075691	0.000000
D:	7.75	0.102689	0.102689	0.134486	0.134486	0.102689	-0.134486	0.269863	-0.002644	0.000000	0.002930	0.105194	-0.001009	0.041623	-0.075691	0.000000
D:	8.85	0.102689	0.102689	0.134486	0.134486	0.102689	-0.134486	0.269863	-0.002644	0.000000	0.002930	0.105194	-0.001009	0.041623	-0.075691	0.000000
D:	10.09	0.102689	0.102689	0.134486	0.134486	0.102689	-0.134486	0.269863	-0.002644	0.000000	0.002930	0.105194	-0.001009	0.041623	-0.075691	0.000000
D:	11.24	0.102689	0.102689	0.134486	0.134486	0.102689	-0.134486	0.269863	-0.002644	0.000000	0.002930	0.105194	-0.001009	0.041623	-0.075691	0.000000
D:	12.35	0.102689	0.102689	0.134486	0.134486	0.102689	-0.134486	0.269863	-0.002644	0.000000	0.002930	0.105194	-0.001009	0.041623	-0.075691	0.000000
D:	13.67	0.102689	0.102689	0.134486	0.134486	0.102689	-0.134486	0.269863	-0.002644	0.000000	0.002930	0.105194	-0.001009	0.041623	-0.075691	0.000000
D:	15.04	0.102689	0.102689	0.134486	0.134486	0.102689	-0.134486	0.269863	-0.002644	0.000000	0.002930	0.105194	-0.001009	0.041623	-0.075691	0.000000
D:	16.01	0.102689	0.102689	0.134486	0.134486	0.102689	-0.134486	0.269863	-0.002644	0.000000	0.002930	0.105194	-0.001009	0.041623	-0.075691	0.000000
D:	17.25	0.102689	0.102689	0.134486	0.134486	0.102689	-0.134486	0.269863	-0.002644	0.000000	0.002930	0.105194	-0.001009	0.041623	-0.075691	0.000000
D:	18.49	0.103265	0.103265	0.142108	0.142108	0.103265	-0.142108	0.269766	-0.002644	0.000000	0.006348	0.105194	-0.002513	0.051344	-0.067243	0.000000
D:	19.62	0.103265	0.103265	0.142108	0.142108	0.103265	-0.142108	0.269766	-0.002644	0.000000	0.006348	0.105194	-0.002513	0.051344	-0.067243	0.000000
D:	20.64	0.103265	0.103265	0.142108	0.142108	0.103265	-0.142108	0.269766	-0.002644	0.000000	0.006348	0.105194	-0.002513	0.051344	-0.067243	0.000000
D:	21.69	0.103265	0.103265	0.142108	0.142108	0.103265	-0.142108	0.269766	-0.002644	0.000000	0.006348	0.105194	-0.002513	0.051344	-0.067243	0.000000
D:	22.75	0.103265	0.103265	0.142108	0.142108	0.103265	-0.142108	0.269766	-0.002644	0.000000	0.006348	0.105194	-0.002513	0.051344	-0.067243	0.000000
D:	23.80	0.103265	0.103265	0.142108	0.142108	0.103265	-0.142108	0.269766	-0.002644	0.000000	0.006348	0.105194	-0.002513	0.051344	-0.067243	0.000000
D:	25.04	0.103265	0.103265	0.142108	0.142108	0.103265	-0.142108	0.269766	-0.002644	0.000000	0.006348	0.105194	-0.002513	0.051344	-0.067243	0.000000
D:	26.61	0.103265	0.103265	0.142108	0.142108	0.103265	-0.142108	0.269766	-0.002644	0.000000	0.006348	0.105194	-0.002513	0.051344	-0.067243	0.000000
D:	27.58	0.103265	0.103265	0.142108	0.142108	0.103265	-0.142108	0.269766	-0.002644	0.000000	0.006348	0.105194	-0.002513	0.051344	-0.067243	0.000000
D:	28.67	0.103265	0.103265	0.142108	0.142108	0.103265	-0.142108	0.269766	-0.002644	0.000000	0.006348	0.105194	-0.002513	0.051344	-0.067243	0.000000
D:	29.68	0.103265	0.103265	0.142108	0.142108	0.103265	-0.142108	0.269766	-0.002644	0.000000	0.006348	0.105194	-0.002513	0.051344	-0.067243	0.000000
D:	30.67	0.103265	0.103265	0.142108	0.142108	0.103265	-0.142108	0.269766	-0.002644	0.000000	0.006348	0.105194	-0.002513	0.051344	-0.067243	0.000000
D:	31.67	0.103265	0.103265	0.142108	0.142108	0.103265	-0.142108	0.269766	-0.002644	0.000000	0.006348	0.105194	-0.002513	0.051344	-0.067243	0.000000
D:	33.11	0.103265	0.103265	0.142108	0.142108	0.103265	-0.142108	0.269766	-0.002644	0.000000	0.006348	0.105194	-0.002513	0.051344	-0.067243	0.000000
D:	34.33	0.104425	0.104425	0.140052	0.140052	0.104425	-0.140052	0.269732	-0.002644	0.000000	0.006348	0.105160	-0.002512	0.051632	-0.071054	0.000000
D:	35.37	0.104425	0.104425	0.140052	0.140052	0.104425	-0.140052	0.269732	-0.002644	0.000000	0.006348	0.105160	-0.002512	0.051632	-0.071054	0.000000
D:	36.43	0.104425	0.104425	0.140052	0.140052	0.104425	-0.140052	0.269732	-0.002644	0.000000	0.006348	0.105160	-0.002512	0.051632	-0.071054	0.000000
D:	37.80	0.104425	0.104425	0.140052	0.140052	0.104425	-0.140052	0.269732	-0.002644	0.000000	0.006348	0.105160	-0.002512	0.051632	-0.071054	0.000000
D:	38.94	0.104425	0.104425	0.140052	0.140052	0.104425	-0.140052	0.269732	-0.002644	0.000000	0.006348	0.105160	-0.002512	0.051632	-0.071054	0.000000
D:	39.94	0.104425	0.104425	0.140052	0.140052	0.104425	-0.140052	0.269732	-0.002644	0.000000	0.006348	0.105160	-0.002512	0.051632	-0.071054	0.000000
D:	40.95	0.104425	0.104425	0.140052	0.140052	0.104425	-0.140052	0.269732	-0.002644	0.000000	0.006348	0.105160	-0.002512	0.051632	-0.071054	0.000000
D:	41.94	0.104425	0.104425	0.140052	0.140052	0.104425	-0.140052	0.269732	-0.002644	0.000000	0.006348	0.105160	-0.002512	0.051632	-0.071054	0.000000
D:	43.16	0.104425	0.104425	0.140052	0.140052	0.104425	-0.140052	0.269732	-0.002644	0.000000	0.006348	0.105160	-0.002512	0.051632	-0.071054	0.000000
D:	44.45	0.104425	0.104425	0.140052	0.140052	0.104425	-0.140052	0.269732	-0.002644	0.000000	0.006348	0.105160	-0.002512	0.051632	-0.071054	0.000000
D:	45.80	0.104425	0.104425	0.140052	0.140052	0.104425	-0.140052	0.269732	-0.002644	0.000000	0.006348	0.105160	-0.002512	0.051632	-0.071054	0.000000
D:	46.94	0.104425	0.104425	0.140052	0.140052	0.104425	-0.140052	0.269732	-0.002644	0.000000	0.006348	0.105160	-0.002512	0.051632	-0.071054	0.000000
D:	47.94	0.104425	0.104425	0.140052	0.140052	0.104425	-0.140052	0.269732	-0.002644	0.000000	0.006348	0.105160	-0.002512	0.051632	-0.071054	0.000000
D:	49.01	0.104425	0.104425	0.140052	0.140052	0.104425	-0.140052	0.269732	-0.002644	0.000000	0.006348	0.105160	-0.002512	0.051632	-0.071054	0.000000
D:	50.06	0.104425	0.104425	0.140052	0.140052	0.104425	-0.140052	0.269732	-0.002644	0.000000	0.006348	0.105160	-0.002512	0.051632	-0.071054	0.000000
D:	51.27	0.118761	0.118761	0.127806	0.127806	0.118761	-0.127806	0.269698	-0.002644	0.000000	0.013184	0.105091	-0.003077	0.052212	-0.070026	0.000000
D:	52.40	0.118761	0.118761	0.127806	0.127806	0.118761	-0.127806	0.269698	-0.002644	0.000000	0.013184	0.105091	-0.003077	0.052212	-0.070026	0.000000
D:	53.94	0.118761	0.118761	0.127806	0.127806	0.118761	-0.127806	0.269698	-0.002644	0.000000	0.013184	0.105091	-0.003077	0.052212	-0.070026	0.000000
D:	55.24	0.118761	0.118761	0.127806	0.127806	0.118761	-0.127806	0.269698	-0.002644	0.000000	0.013184	0.105091	-0.003077	0.052212	-0.070026	0.000000
D:	56.41	0.118761	0.118761	0.127806	0.127806	0.118761	-0.127806	0.269698	-0.002644	0.000000	0.013184	0.105091	-0.003077	0.052212	-0.070026	0.000000
D:	57.77	0.118761	0.118761	0.127806	0.127806	0.118761	-0.127806	0.269698	-0.002644	0.000000	0.013184	0.105091	-0.003077	0.052212	-0.070026	0.000000
D:	59.19	0.118761	0.118761	0.127806	0.127806	0.118761	-0.127806	0.269698	-0.002644	0.000000	0.013184	0.105091	-0.003077	0.052212	-0.070026	0.000000
D:	60.40	0.118761	0.118761	0.127806	0.127806	0.118761	-0.127806	0.269698	-0.002644	0.000000	0.013184	0.105091	-0.003077	0.052212	-0.070026	0.000000
D:	61.76	0.118761	0.118761	0.127806	0.127806	0.118761	-0.127806	0.269698	-0.002644	0.000000	0.013184	0.105091	-0.003077	0.052212	-0.070026	0.000000
D:	63.21	0.118761	0.118761	0.127806	0.127806	0.118761	-0.127806	0.269698	-0.002644	0.000000	0.013184	0.105091	-0.003077	0.052212	-0.070026	0.000000
D:	64.40	0.118761	0.118761	0.127806	0.127806	0.118761	-0.127806	0.269698	-0.002644	0.000000	0.013184	0.105091	-0.003077	0.052212	-0.070026	0.000000
D:	65.80	0.118761	0.118761	0.127806	0.127806	0.118761	-0.127806	0.269698	-0.002644	0.000000	0.013184	0.105091	-0.003077	0.052212	-0.070026	0.000000
D:	67.06	0.118761	0.118761	0.127806	0.127806	0.118761	-0.127806	0.269698	-0.002644	0.000000	0.013184	0.105091	-0.003077	0.052212	-0.070026	0.000000
D:	68.43	0.122430	0.122430	0.126448	0.126448	0.122430	-0.126448	0.269650	-0.002644	0.001842	0.016113	0.105023	-0.003600	0.059381	-0.063903	0.046058
D:	69.76	0.122430	0.122430	0.126448	0.126448	0.122430	-0.126448	0.269650	-0.002644	0.001842	0.016113	0.105023	-0.003600	0.059381	-0.063903	0.046058
D:	71.13	0.122430	0.122430	0.126448	0.126448	0.122430	-0.126448	0.269650	-0.002644	0.001842	0.016113	0.105023	-0.003600	0.059381	-0.063903	0.046058
D:	72.47	0.122430	0.122430	0.126448	0.126448	0.122430	-0.126448	0.269650	-0.002644	0.001842	0.016113	0.105023	-0.003600	0.059381	-0.063903	0.046058
D:	73.52	0.122430	0.122430	0.126448	0.126448	0.122430	-0.126448	0.269650	-0.002644	0.001842	0.016113	0.105023	-0.003600	0.059381	-0.063903	0.046058
D:	74.81	0.122430	0.122430	0.126448	0.126448	0.122430	-0.126448	0.269650	-0.002644	0.001842	0.016113	0.105023	-0.003600	0.059381	-0.063903	0.046058
D:	76.09	0.122430	0.122430	0.126448	0.126448	0.122430	-0.126448	0.269650	-0.002644	0.001842	0.016113	0.105023	-0.003600	0.059381	-0.063903	0.046058
D:	77.71	0.122430	0.122430	0.126448	0.126448	0.122430	-0.126448	0.269650	-0.002644	0.001842	0.016113	0.105023	-0.003600	0.059381	-0.063903	0.046058
D:	78.96	0.122430	0.122430	0.126448	0.126448	0.122430	-0.126448	0.269650	-0.002644	0.001842	0.016113	0.105023	-0.003600	0.059381	-0.063903	0.046058
D:	80.36	0.122430	0.122430	0.126448	0.126448	0.122430	-0.126448	0.269650	-0.002644	0.001842	0.016113	0.105023	-0.003600	0.059381	-0.063903	0.046058
D:	81.48	0.122430	0.122430	0.126448	0.126448	0.122430	-0.126448	0.269650	-0.002644	0.001842	0.016113	0.105023	-0.003600	0.059381	-0.063903	0.046058
D:	82.82	0.122430	0.122430	0.126448	0.126448	0.122430	-0.126448	0.269650	-0.002644	0.001842	0.016113	0.105023	-0.003600	0.059381	-0.063903	0.046058
D:	84.17	0.121907	0.121907	0.126971	0.126971	0.121907	-0.126971	0.269611	-0.002644	0.001842	0.016602	0.104966	-0.003606	0.061215	-0.063224	0.046058
D:	85.49	0.121907	0.121907	0.126971	0.126971	0.121907	-0.126971	0.269611	-0.002644	0.001842	0.016602	0.104966	-0.003606	0.061215	-0.063224	0.046058
D:	86.84	0.121907	0.121907	0.126971	0.126971	0.121907	-0.126971	0.269611	-0.002644	0.001842	0.016602	0.104966	-0.003606	0.061215	-0.063224	0.046058
D:	88.02	0.121907	0.121907	0.126971	0.126971	0.121907	-0.126971	0.269611	-0.002644	0.001842	0.016602	0.104966	-0.003606	0.061215	-0.063224	0.046058
D:	89.04	0.121907	0.121907	0.126971	0.126971	0.121907	-0.126971	0.269611	-0.002644	0.001842	0.016602	0.104966	-0.003606	0.061215	-0.063224	0.046058
D:	90.04	0.121907	0.121907	0.126971	0.126971	0.121907	-0.126971	0.269611	-0.002644	0.001842	0.016602	0.104966	-0.003606	0.061215	-0.063224	0.046058
D:	91.07	0.121907	0.121907	0.126971	0.126971	0.121907	-0.126971	0.269611	-0.002644	0.001842	0.016602	0.104966	-0.003606	0.061215	-0.063224	0.046058
D:	92.48	0.121907	0.121907	0.126971	0.126971	0.121907	-0.126971	0.269611	-0.002644	0.001842	0.016602	0.104966	-0.003606	0.061215	-0.063224	0.046058
D:	93.81	0.121907	0.121907	0.126971	0.126971	0.121907	-0.126971	0.269611	-0.002644	0.001842	0.016602	0.104966	-0.003606	0.061215	-0.063224	0.046058
D:	95.03	0.121907	0.121907	0.126971	0.126971	0.121907	-0.126971	0.269611	-0.002644	0.001842	0.016602	0.104966	-0.003606	0.061215	-0.063224	0.046058
D:	96.03	0.121907	0.121907	0.126971	0.126971	0.121907	-0.126971	0.269611	-0.002644	0.001842	0.016602	0.104966	-0.003606	0.061215	-0.063224	0.046058
D:	97.17	0.121907	0.121907	0.126971	0.126971	0.121907	-0.126971	0.269611	-0.002644	0.001842	0.016602	0.104966	-0.003606	0.061215	-0.063224	0.046058
D:	98.45	0.121907	0.121907	0.126971	0.126971	0.121907	-0.126971	0.269611	-0.002644	0.001842	0.016602	0.104966	-0.003606	0.061215	-0.063224	0.046058
D:	99.80	0.121907	0.121907	0.126971	0.126971	0.121907	-0.126971	0.269611	-0.002644	0.001842	0.016602	0.104966	-0.003606	0.061215	-0.063224	0.046058
D:	101.02	0.131259	0.131259	0.110747	0.110747	0.131259	-0.110747	0.269611	-0.002644	0.005527	0.018555	0.104898	-0.002653	0.060953	-0.063485	0.046058
D:	102.07	0.131259	0.131259	0.110747	0.110747	0.131259	-0.110747	0.269587	-0.002644	0.005527	0.018555	0.104898	-0.002653	0.060953	-0.063485	0.138173
D:	103.69	0.131259	0.131259	0.110747	0.110747	0.131259	-0.110747	0.269587	-0.002644	0.005527	0.018555	0.104898	-0.002653	0.060953	-0.063485	0.138173
D:	104.69	0.131259	0.131259	0.110747	0.110747	0.131259	-0.110747	0.269587	-0.002644	0.005527	0.018555	0.104898	-0.002653	0.060953	-0.063485	0.138173
D:	105.74	0.131259	0.131259	0.110747	0.110747	0.131259	-0.110747	0.269587	-0.002644	0.005527	0.018555	0.104898	-0.002653	0.060953	-0.063485	0.138173
D:	106.78	0.131259	0.131259	0.110747	0.110747	0.131259	-0.110747	0.269587	-0.002644	0.005527	0.018555	0.104898	-0.002653	0.060953	-0.063485	0.138173
D:	107.79	0.131259	0.131259	0.110747	0.110747	0.131259	-0.110747	0.269587	-0.002644	0.005527	0.018555	0.104898	-0.002653	0.060953	-0.063485	0.138173
D:	109.05	0.131259	0.131259	0.110747	0.110747	0.131259	-0.110747	0.269587	-0.002644	0.005527	0.018555	0.104898	-0.002653	0.060953	-0.063485	0.138173
D:	110.36	0.131259	0.131259	0.110747	0.110747	0.131259	-0.110747	0.269587	-0.002644	0.005527	0.018555	0.104898	-0.002653	0.060953	-0.063485	0.138173
D:	111.68	0.131259	0.131259	0.110747	0.110747	0.131259	-0.110747	0.269587	-0.002644	0.005527	0.018555	0.104898	-0.002653	0.060953	-0.063485	0.138173
D:	112.82	0.131259	0.131259	0.110747	0.110747	0.131259	-0.110747	0.269587	-0.002644	0.005527	0.018555	0.104898	-0.002653	0.060953	-0.063485	0.138173
D:	114.03	0.131259	0.131259	0.110747	0.110747	0.131259	-0.110747	0.269587	-0.002644	0.005527	0.018555	0.104898	-0.002653	0.060953	-0.063485	0.138173
D:	115.19	0.131259	0.131259	0.110747	0.110747	0.131259	-0.110747	0.269587	-0.002644	0.005527	0.018555	0.104898	-0.002653	0.060953	-0.063485	0.138173
D:	116.37	0.131259	0.131259	0.110747	0.110747	0.131259	-0.110747	0.269587	-0.002644	0.005527	0.018555	0.104898	-0.002653	0.060953	-0.063485	0.138173
D:	117.53	0.131259	0.131259	0.110747	0.110747	0.131259	-0.110747	0.269587	-0.002644	0.005527	0.018555	0.104898	-0.002653	0.060953	-0.063485	0.138173
D:	118.72	0.131259	0.131259	0.110747	0.110747	0.131259	-0.110747	0.269587	-0.002644	0.005527	0.018555	0.104898	-0.002653	0.060953	-0.063485	0.138173
D:	119.77	0.131259	0.131259	0.110747	0.110747	0.131259	-0.110747	0.269587	-0.002644	0.005527	0.018555	0.104898	-0.002653	0.060953	-0.063485	0.138173
D:	120.91	0.134223	0.134223	0.093656	0.093656	0.134223	-0.093656	0.269587	-0.002644	0.005527	0.022461	0.104867	-0.000249	0.065629	-0.055374	0.138173
D:	122.25	0.134223	0.134223	0.093656	0.093656	0.134223	-0.093656	0.269582	-0.002644	0.009211	0.022461	0.104867	-0.000249	0.065629	-0.055374	0.230287
D:	123.71	0.134223	0.134223	0.093656	0.093656	0.134223	-0.093656	0.269582	-0.002644	0.009211	0.022461	0.104867	-0.000249	0.065629	-0.055374	0.230287
D:	124.77	0.134223	0.134223	0.093656	0.093656	0.134223	-0.093656	0.269582	-0.002644	0.009211	0.022461	0.104867	-0.000249	0.065629	-0.055374	0.230287
D:	126.13	0.134223	0.134223	0.093656	0.093656	0.134223	-0.093656	0.269582	-0.002644	0.009211	0.022461	0.104867	-0.000249	0.065629	-0.055374	0.230287
D:	127.83	0.134223	0.134223	0.093656	0.093656	0.134223	-0.093656	0.269582	-0.002644	0.009211	0.022461	0.104867	-0.000249	0.065629	-0.055374	0.230287
D:	128.85	0.134223	0.134223	0.093656	0.093656	0.134223	-0.093656	0.269582	-0.002644	0.009211	0.022461	0.104867	-0.000249	0.065629	-0.055374	0.230287
D:	130.20	0.134223	0.134223	0.093656	0.093656	0.134223	-0.093656	0.269582	-0.002644	0.009211	0.022461	0.104867	-0.000249	0.065629	-0.055374	0.230287
D:	131.45	0.134223	0.134223	0.093656	0.093656	0.134223	-0.093656	0.269582	-0.002644	0.009211	0.022461	0.104867	-0.000249	0.065629	-0.055374	0.230287
D:	132.50	0.134223	0.134223	0.093656	0.093656	0.134223	-0.093656	0.269582	-0.002644	0.009211	0.022461	0.104867	-0.000249	0.065629	-0.055374	0.230287
D:	133.57	0.134223	0.134223	0.093656	0.093656	0.134223	-0.093656	0.269582	-0.002644	0.009211	0.022461	0.104867	-0.000249	0.065629	-0.055374	0.230287
D:	135.00	0.134223	0.134223	0.093656	0.093656	0.134223	-0.093656	0.269582	-0.002644	0.009211	0.022461	0.104867	-0.000249	0.065629	-0.055374	0.230287
D:	136.14	0.134223	0.134223	0.093656	0.093656	0.134223	-0.093656	0.269582	-0.002644	0.009211	0.022461	0.104867	-0.000249	0.065629	-0.055374	0.230287
D:	137.14	0.131819	0.131819	0.094956	0.094956	0.131819	-0.094956	0.269562	-0.002644	0.009211	0.023926	0.104868	0.000227	0.067111	-0.046828	0.230287
D:	138.22	0.131819	0.131819	0.094956	0.094956	0.131819	-0.094956	0.269562	-0.002644	0.009211	0.023926	0.104868	0.000227	0.067111	-0.046828	0.230287
D:	139.56	0.131819	0.131819	0.094956	0.094956	0.131819	-0.094956	0.269562	-0.002644	0.009211	0.023926	0.104868	0.000227	0.067111	-0.046828	0.230287
D:	140.76	0.131819	0.131819	0.094956	0.094956	0.131819	-0.094956	0.269562	-0.002644	0.009211	0.023926	0.104868	0.000227	0.067111	-0.046828	0.230287
D:	141.76	0.131819	0.131819	0.094956	0.094956	0.131819	-0.094956	0.269562	-0.002644	0.009211	0.023926	0.104868	0.000227	0.067111	-0.046828	0.230287
D:	142.81	0.131819	0.131819	0.094956	0.094956	0.131819	-0.094956	0.269562	-0.002644	0.009211	0.023926	0.104868	0.000227	0.067111	-0.046828	0.230287
